Days	G0	G25	G50	G75	G100	
376	8.119	9.036	9.729	10.472	11.634
377	8.126	9.043	9.736	10.48	11.643
378	8.132	9.05	9.744	10.488	11.653
379	8.138	9.057	9.751	10.496	11.662
380	8.144	9.063	9.759	10.504	11.671
381	8.15	9.07	9.766	10.512	11.68
382	8.156	9.077	9.774	10.52	11.689
383	8.163	9.084	9.781	10.528	11.698
384	8.169	9.091	9.789	10.536	11.707
385	8.175	9.098	9.796	10.544	11.716
386	8.181	9.105	9.804	10.553	11.725
387	8.187	9.111	9.811	10.561	11.734
388	8.193	9.118	9.818	10.569	11.744
389	8.199	9.125	9.826	10.577	11.752
390	8.205	9.132	9.833	10.585	11.761
391	8.211	9.139	9.84	10.593	11.771
392	8.218	9.145	9.848	10.601	11.78
393	8.224	9.152	9.855	10.609	11.789
394	8.23	9.159	9.863	10.617	11.798
395	8.236	9.166	9.87	10.625	11.807
396	8.242	9.173	9.877	10.633	11.816
397	8.248	9.179	9.885	10.641	11.825
398	8.254	9.186	9.892	10.648	11.834
399	8.26	9.193	9.899	10.657	11.843
400	8.266	9.2	9.907	10.664	11.852
401	8.272	9.206	9.914	10.672	11.861
402	8.278	9.213	9.921	10.68	11.869
403	8.284	9.22	9.928	10.688	11.878
404	8.29	9.227	9.936	10.696	11.887
405	8.296	9.233	9.943	10.704	11.896
406	8.302	9.24	9.95	10.712	11.905
407	8.308	9.247	9.958	10.72	11.914
408	8.314	9.253	9.965	10.728	11.923
409	8.32	9.26	9.972	10.736	11.932
410	8.326	9.267	9.979	10.743	11.941
411	8.332	9.273	9.987	10.751	11.95
412	8.338	9.28	9.994	10.759	11.958
413	8.344	9.287	10.001	10.767	11.967
414	8.349	9.293	10.008	10.775	11.976
415	8.355	9.3	10.015	10.783	11.985
416	8.361	9.307	10.023	10.791	11.994
417	8.367	9.313	10.03	10.798	12.003
418	8.373	9.32	10.037	10.806	12.012
419	8.379	9.327	10.044	10.814	12.021
420	8.385	9.333	10.051	10.822	12.029
421	8.391	9.34	10.059	10.83	12.038
422	8.397	9.346	10.066	10.837	12.047
423	8.403	9.353	10.073	10.845	12.056
424	8.409	9.36	10.08	10.853	12.065
425	8.414	9.366	10.087	10.861	12.073
426	8.42	9.373	10.094	10.869	12.082
427	8.426	9.379	10.102	10.876	12.091
428	8.432	9.386	10.109	10.884	12.1
429	8.438	9.393	10.116	10.892	12.109
430	8.444	9.399	10.123	10.9	12.117
431	8.45	9.406	10.13	10.907	12.126
432	8.455	9.412	10.137	10.915	12.135
433	8.461	9.419	10.144	10.923	12.144
434	8.467	9.425	10.152	10.931	12.152
435	8.473	9.432	10.159	10.938	12.161
436	8.479	9.438	10.166	10.946	12.17
437	8.485	9.445	10.173	10.954	12.179
438	8.49	9.452	10.18	10.962	12.187
439	8.496	9.458	10.187	10.969	12.196
440	8.502	9.465	10.194	10.977	12.205
441	8.508	9.471	10.201	10.985	12.214
442	8.513	9.478	10.208	10.992	12.222
443	8.519	9.484	10.215	11	12.231
444	8.525	9.491	10.222	11.008	12.24
445	8.531	9.497	10.229	11.016	12.248
446	8.537	9.504	10.237	11.023	12.257
447	8.542	9.51	10.244	11.031	12.266
448	8.548	9.517	10.251	11.039	12.275
449	8.554	9.523	10.258	11.046	12.283
450	8.56	9.53	10.265	11.054	12.292
451	8.565	9.536	10.272	11.062	12.301
452	8.571	9.543	10.279	11.069	12.309
453	8.577	9.549	10.286	11.077	12.318
454	8.583	9.555	10.293	11.085	12.327
455	8.588	9.562	10.3	11.092	12.335
456	8.594	9.568	10.307	11.1	12.344
457	8.6	9.575	10.314	11.108	12.353
458	8.606	9.581	10.321	11.115	12.361
459	8.611	9.588	10.328	11.123	12.37
460	8.617	9.594	10.335	11.13	12.379
461	8.623	9.601	10.342	11.138	12.387
462	8.629	9.607	10.349	11.146	12.396
463	8.634	9.613	10.356	11.153	12.405
464	8.64	9.62	10.363	11.161	12.413
465	8.646	9.626	10.37	11.169	12.422
466	8.651	9.633	10.377	11.176	12.431
467	8.657	9.639	10.384	11.184	12.439
468	8.663	9.645	10.391	11.191	12.448
469	8.668	9.652	10.398	11.199	12.457
470	8.674	9.658	10.405	11.207	12.465
471	8.68	9.665	10.412	11.214	12.474
472	8.685	9.671	10.419	11.222	12.482
473	8.691	9.678	10.426	11.229	12.491
474	8.697	9.684	10.433	11.237	12.499
475	8.703	9.69	10.44	11.245	12.508
476	8.708	9.697	10.447	11.252	12.517
477	8.714	9.703	10.454	11.26	12.525
478	8.719	9.709	10.46	11.267	12.534
479	8.725	9.716	10.467	11.275	12.543
480	8.731	9.722	10.474	11.282	12.551
481	8.736	9.729	10.481	11.29	12.56
482	8.742	9.735	10.488	11.298	12.568
483	8.748	9.741	10.495	11.305	12.577
484	8.753	9.748	10.502	11.313	12.586
485	8.759	9.754	10.509	11.32	12.594
486	8.765	9.76	10.516	11.328	12.603
487	8.77	9.767	10.523	11.335	12.611
488	8.776	9.773	10.53	11.343	12.62
489	8.781	9.779	10.537	11.35	12.629
490	8.787	9.786	10.544	11.358	12.637
491	8.793	9.792	10.551	11.366	12.646
492	8.798	9.798	10.557	11.373	12.654
493	8.804	9.805	10.564	11.381	12.663
494	8.81	9.811	10.571	11.388	12.671
495	8.815	9.817	10.578	11.396	12.68
496	8.821	9.824	10.585	11.403	12.688
497	8.826	9.83	10.592	11.411	12.697
498	8.832	9.836	10.599	11.418	12.705
499	8.837	9.843	10.606	11.426	12.714
500	8.843	9.849	10.613	11.433	12.723
501	8.849	9.855	10.619	11.441	12.731
502	8.854	9.862	10.626	11.448	12.74
503	8.86	9.868	10.633	11.456	12.748
504	8.865	9.874	10.64	11.463	12.757
505	8.871	9.88	10.647	11.471	12.765
506	8.877	9.887	10.654	11.478	12.774
507	8.882	9.893	10.661	11.486	12.782
508	8.888	9.899	10.667	11.493	12.791
509	8.893	9.906	10.674	11.501	12.799
510	8.899	9.912	10.681	11.508	12.808
511	8.904	9.918	10.688	11.516	12.816
512	8.91	9.924	10.695	11.523	12.825
513	8.915	9.931	10.702	11.531	12.833
514	8.921	9.937	10.708	11.538	12.842
515	8.927	9.943	10.715	11.545	12.85
516	8.932	9.949	10.722	11.553	12.859
517	8.938	9.956	10.729	11.56	12.867
518	8.943	9.962	10.736	11.568	12.876
519	8.949	9.968	10.743	11.575	12.885
520	8.954	9.974	10.749	11.583	12.893
521	8.96	9.981	10.756	11.59	12.901
522	8.965	9.987	10.763	11.598	12.91
523	8.971	9.993	10.77	11.605	12.918
524	8.976	9.999	10.777	11.613	12.927
525	8.982	10.006	10.784	11.62	12.935
526	8.987	10.012	10.79	11.628	12.944
527	8.993	10.018	10.797	11.635	12.952
528	8.998	10.024	10.804	11.642	12.961
529	9.004	10.031	10.811	11.65	12.97
530	9.009	10.037	10.817	11.657	12.978
531	9.015	10.043	10.824	11.665	12.986
532	9.02	10.049	10.831	11.672	12.995
533	9.026	10.055	10.838	11.679	13.003
534	9.031	10.062	10.845	11.687	13.012
535	9.037	10.068	10.851	11.694	13.02
536	9.042	10.074	10.858	11.702	13.029
537	9.048	10.08	10.865	11.709	13.037
538	9.053	10.086	10.872	11.717	13.046
539	9.059	10.093	10.879	11.724	13.054
540	9.064	10.099	10.885	11.731	13.062
541	9.069	10.105	10.892	11.739	13.071
542	9.075	10.111	10.899	11.746	13.079
543	9.08	10.117	10.906	11.754	13.088
544	9.086	10.124	10.912	11.761	13.096
545	9.091	10.13	10.919	11.768	13.105
546	9.097	10.136	10.926	11.776	13.113
547	9.102	10.142	10.933	11.783	13.122
548	9.108	10.148	10.939	11.791	13.13
549	9.113	10.154	10.946	11.798	13.139
550	9.119	10.161	10.953	11.805	13.147
551	9.124	10.167	10.96	11.813	13.156
552	9.129	10.173	10.966	11.82	13.164
553	9.135	10.179	10.973	11.828	13.172
554	9.14	10.185	10.98	11.835	13.181
555	9.146	10.191	10.987	11.842	13.189
556	9.151	10.198	10.993	11.85	13.198
557	9.157	10.204	11	11.857	13.206
558	9.162	10.21	11.007	11.864	13.215
559	9.167	10.216	11.013	11.872	13.223
560	9.173	10.222	11.02	11.879	13.232
561	9.178	10.228	11.027	11.887	13.24
562	9.184	10.234	11.034	11.894	13.248
563	9.189	10.241	11.04	11.901	13.257
564	9.194	10.247	11.047	11.909	13.265
565	9.2	10.253	11.054	11.916	13.274
566	9.205	10.259	11.061	11.923	13.282
567	9.211	10.265	11.067	11.931	13.291
568	9.216	10.271	11.074	11.938	13.299
569	9.221	10.277	11.081	11.945	13.307
570	9.227	10.284	11.087	11.953	13.316
571	9.232	10.29	11.094	11.96	13.324
572	9.237	10.296	11.101	11.968	13.333
573	9.243	10.302	11.107	11.975	13.341
574	9.248	10.308	11.114	11.982	13.349
575	9.254	10.314	11.121	11.99	13.358
576	9.259	10.32	11.128	11.997	13.366
577	9.264	10.326	11.134	12.004	13.375
578	9.27	10.332	11.141	12.012	13.383
579	9.275	10.339	11.148	12.019	13.392
580	9.281	10.345	11.154	12.026	13.4
581	9.286	10.351	11.161	12.034	13.408
582	9.291	10.357	11.168	12.041	13.417
583	9.296	10.363	11.174	12.048	13.425
584	9.302	10.369	11.181	12.056	13.433
585	9.307	10.375	11.188	12.063	13.442
586	9.313	10.381	11.194	12.07	13.45
587	9.318	10.387	11.201	12.078	13.459
588	9.323	10.393	11.208	12.085	13.467
589	9.329	10.399	11.214	12.092	13.476
590	9.334	10.406	11.221	12.1	13.484
591	9.339	10.412	11.228	12.107	13.492
592	9.345	10.418	11.235	12.114	13.501
593	9.35	10.424	11.241	12.122	13.509
594	9.355	10.43	11.248	12.129	13.518
595	9.361	10.436	11.255	12.136	13.526
596	9.366	10.442	11.261	12.144	13.535
597	9.371	10.448	11.268	12.151	13.543
598	9.377	10.454	11.275	12.158	13.551
599	9.382	10.46	11.281	12.166	13.56
600	9.387	10.466	11.288	12.173	13.568
601	9.393	10.472	11.295	12.18	13.577
602	9.398	10.479	11.301	12.188	13.585
603	9.403	10.485	11.308	12.195	13.593
604	9.409	10.491	11.315	12.202	13.602
605	9.414	10.497	11.321	12.21	13.61
606	9.419	10.503	11.328	12.217	13.619
607	9.425	10.509	11.335	12.224	13.627
608	9.43	10.515	11.341	12.232	13.636
609	9.435	10.521	11.348	12.239	13.644
610	9.441	10.527	11.355	12.246	13.652
611	9.446	10.533	11.361	12.254	13.661
612	9.451	10.539	11.368	12.261	13.669
613	9.457	10.545	11.375	12.268	13.678
614	9.462	10.551	11.381	12.276	13.686
615	9.467	10.558	11.388	12.283	13.694
616	9.473	10.564	11.395	12.29	13.703
617	9.478	10.57	11.401	12.297	13.711
618	9.483	10.576	11.408	12.305	13.72
619	9.488	10.582	11.414	12.312	13.728
620	9.494	10.588	11.421	12.319	13.736
621	9.499	10.594	11.428	12.327	13.745
622	9.504	10.6	11.434	12.334	13.753
623	9.51	10.606	11.441	12.341	13.762
624	9.515	10.612	11.448	12.349	13.77
625	9.52	10.618	11.454	12.356	13.779
626	9.526	10.624	11.461	12.363	13.787
627	9.531	10.63	11.468	12.371	13.795
628	9.536	10.636	11.474	12.378	13.804
629	9.542	10.642	11.481	12.385	13.812
630	9.547	10.648	11.488	12.393	13.821
631	9.552	10.654	11.494	12.4	13.829
